Name,Latitude,Longitude,VenueID
Breslin Center,42.728227,-84.492396,Venue_001
Rick's American Cafe,42.73584726,-84.4836365,Venue_002
Wharton Center,42.72399499,-84.47072575,Venue_003
Spartan Stadium,42.72843052,-84.48484401,Venue_004
Ovation,42.72805113,-84.55280878,Venue_005
Mac's Bar,42.73380546,-84.51358694,Venue_006
Mash Bar,42.73598573,-84.48163211,Venue_007
David Bowie Memorial Coop,42.73769971,-84.49272554,Venue_008
Moriarty's Pub,42.73352281,-84.54073914,Venue_009
The Green Door,42.73427601,-84.5222815,Venue_010
The Loft,42.73356373,-84.54754869,Venue_011
Small Planet (1),42.73468356,-84.50128837,Venue_012
Bailey Community Center,42.73586191,-84.47580436,Venue_013
MSU International Center,42.72663305,-84.4810893,Venue_014
MSU Union,42.73430581,-84.48286232,Venue_015
Common Ground Coffee House,42.72481144,-84.46485817,Venue_016
Small Planet (2),42.77283461,-84.48528037,Venue_017
MSU Muilticultural Center,42.72634541,-84.47721931,Venue_018
Landshark Bar & Grill,42.73533217,-84.48358438,Venue_019
P.T. O'Malley's,42.73546946,-84.48366939,Venue_020
The Riv,42.73543914,-84.48132571,Venue_021
UrbanBeat,42.74797101,-84.54983265,Venue_022
Nuthouse Sports Grill,42.7334007,-84.5470649,Venue_023
(SCENE) Metrospace,42.73491615,-84.47921024,Venue_024
Temple Club,42.74710938,-84.54608467,Venue_025
The Junction,42.72946691,-84.5088758,Venue_026
Green Dot Stables,42.72946691,-84.5088758,Venue_027
Grewal Hall,42.73166448,-84.55251567,Venue_028
Spiral Video Dance Bar,42.7496505,-84.54834623,Venue_029
Dagwoods Tavern & Grill,42.73011132,-84.51165649,Venue_030
